ID,Cluster
501,2
502,1
503,1
504,1
505,1
506,2
507,2
508,2
509,2
510,1
511,2
512,2
513,1
514,2
515,1
516,2
517,1
518,1
519,1
520,2
521,2
522,1
523,1
524,2
525,1
526,1
527,2
528,1
529,2
530,1
531,2
532,1
533,2
534,2
535,1
536,1
537,2
538,1
539,1
540,1
541,2
542,1
543,2
544,1
545,2
546,1
547,2
548,2
549,2
550,1
551,2
552,1
553,2
554,1
555,1
556,1
557,1
558,1
559,1
560,2
561,1
562,2
563,1
564,2
565,1
566,2
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,2
576,2
577,1
578,1
579,1
580,2
581,1
582,2
583,1
584,1
585,1
586,2
587,2
588,2
589,2
590,1
591,1
592,1
593,1
594,2
595,1
596,2
597,1
598,2
599,1
600,1
601,1
602,2
603,2
604,2
605,2
606,2
607,1
608,2
609,1
610,2
611,1
612,2
613,1
614,1
615,1
616,2
617,2
618,1
619,2
620,2
621,2
622,1
623,2
624,2
625,2
626,2
627,1
628,1
629,2
630,1
631,2
632,1
633,2
634,1
635,2
636,1
637,1
638,2
639,1
640,1
641,1
642,1
643,2
644,2
645,1
646,1
647,1
648,2
649,1
650,1
651,2
652,2
653,2
654,1
655,1
656,1
657,1
658,1
659,2
660,1
661,2
662,1
663,2
664,1
665,1
666,2
667,1
668,1
669,1
670,1
671,1
672,2
673,1
674,1
675,2
676,2
677,1
678,1
679,1
680,1
681,2
682,2
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,2
692,2
693,1
694,1
695,1
696,1
697,2
698,1
699,2
700,2
701,2
702,2
703,1
704,1
705,1
706,1
707,1
708,2
709,2
710,1
711,2
712,1
713,1
714,2
715,1
716,2
717,1
718,1
719,1
720,1
721,2
722,2
723,1
724,1
725,1
726,2
727,1
728,2
729,1
730,2
731,2
732,1
733,1
734,1
735,1
736,1
737,1
738,2
739,1
740,2
741,1
742,1
743,1
744,2
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,2
755,1
756,2
757,2
758,1
759,2
760,1
761,2
762,2
763,1
764,2
765,1
766,2
767,1
768,1
769,2
770,1
771,2
772,2
773,1
774,2
775,2
776,1
777,1
778,1
779,1
780,2
781,1
782,1
783,2
784,1
785,1
786,1
787,1
788,2
789,1
790,1
791,2
792,1
793,2
794,1
795,1
796,1
797,2
798,1
799,2
800,1
801,1
802,2
803,1
804,1
805,1
806,2
807,2
808,1
809,1
810,1
811,2
812,1
813,1
814,2
815,2
816,2
817,2
818,2
819,2
820,2
821,2
822,1
823,1
824,1
825,2
826,2
827,2
828,1
829,2
830,2
831,1
832,1
833,2
834,1
835,1
836,1
837,2
838,1
839,1
840,1
841,1
842,2
843,2
844,1
845,1
846,2
847,1
848,1
849,2
850,1
851,1
852,1
853,2
854,2
855,1
856,1
857,2
858,1
859,1
860,1
861,2
862,1
863,1
864,2
865,2
866,1
867,1
868,1
869,1
870,1
871,2
872,2
873,2
874,2
875,2
876,1
877,1
878,1
879,1
880,1
881,2
882,1
883,2
884,2
885,1
886,1
887,1
888,1
889,1
890,1
891,2
892,2
893,1
894,1
895,1
896,2
897,2
898,1
899,1
900,2
901,2
902,2
903,1
904,1
905,2
906,1
907,1
908,1
909,2
910,2
911,1
912,1
913,1
914,1
915,2
916,2
917,1
918,1
919,2
920,1
921,2
922,1
923,1
924,1
925,2
926,2
927,1
928,1
929,2
930,1
931,2
932,1
933,2
934,1
935,1
936,1
937,2
938,1
939,1
940,2
941,2
942,1
943,2
944,2
945,2
946,1
947,2
948,1
949,1
950,2
951,2
952,2
953,2
954,2
955,2
956,1
957,2
958,2
959,1
960,2
961,2
962,1
963,2
964,1
965,2
966,1
967,1
968,2
969,2
970,1
971,1
972,2
973,1
974,2
975,2
976,1
977,1
978,2
979,1
980,1
981,2
982,1
983,1
984,1
985,1
986,2
987,1
988,2
989,2
990,2
991,2
992,1
993,1
994,2
995,2
996,2
997,1
998,1
999,1
1000,1
